1,cóndor,buitre,vuelo,v
2,foca,marino,pelota,v
3,árbol,grande,hojas,v
4,abeja,miel,picadura,v
5,pez,mar,red,v
6,cucaracha,sucio,plaga,v
7,docente,pizarra,enseñar,v
8,hongo,humedad,pie,v
9,piojo,pelo,pulga,v
10,bióloga,laboratorio,naturaleza,v
11,enredadera,pared,podar,v
12,minero,oro,pico,v
13,abuelo,nieto,arruga,v
14,pasto,verde,cortar,v
15,presidente,pueblo,votar,v
16,pino,navidad,bosque,v
17,juez,ley,abogado,v
18,flor,rosa,perfume,v
19,casa,puerta,hogar,n
20,peine,nudo,peluquería,n
21,palo,perro,largo,n
22,reloj,tiempo,cucu,n
23,lampara,luz,habitación,n
24,botella,liquido,tapa,n
25,mascara,carnaval,teatro,n
26,dinero,dolar,papel,n
27,remera,algodón,tela,n
28,lluvia,viento,paraguas,n
29,caja,guardar,mudanza,n
30,proyector,imagen,clase,n
31,roca,piedra,geología,n
32,teclado,texto,tipeo,n
33,río,puente,agua,n
34,enchufe,eléctrico,universal,n
35,nube,altura,tormenta,n
36,teléfono,sonar,comunicar,n
